Question,Predicted Answer,Predicted Option
Những thành phần chính nào cấu thành mô hình hồi quy tuyến tính?,B,Mô hình (model)
Một trình tối ưu linear regression ghi nhận cost function tăng. Hành động hợp lý tiếp theo là gì?,B,Không làm gì cả
"Trong tài liệu Public_036, đâu không phải một ứng dụng của Image segmentation được đề cập?",D,Quản lý ra vào ở bãi đỗ xe
Mạng U-Net có mấy phần chính?,A,Ba
"Theo tài liệu Public_036, có bao nhiêu loại bài toán segmentation và đó là những loại nào?",A,Hai. Meaning segmentation và object segmentation
"Theo tài liệu Public_036, mạng U-Net có những hạn chế hoặc điểm yếu nào khi áp dụng trong bài toán Image segmentation?",B,Có cơ chế kết nối các lớp có cùng kích thước để tránh gradient vanishing
"Xác định padding (p) và stride (s) khi tiến hành transposed convolution với input 4x4, kernel 3x3 để cho ra output 9x9",D,"p = 1, s = 1"
"Trong ví dụ ở đầu tài liệu, đâu không phải là một mô tả ảnh được giới thiệu?",B,"""Công nhân xây dựng mặc áo bảo hộ cam đang làm việc trên đường"""
Mô hình skip-gram ban đầu có bao nhiêu lớp ẩn (hidden layer)?,B,Hai
Co-occurrence matrix có tính chất đối xứng gì và kích thước của ma trận này là bao nhiêu (với V là kích thước từ điển)?,D,Đối xứng dọc. 2V x V
Khẳng định nào dưới đây không đúng với bối cảnh bài toán trong tài liệu Public_037?,B,Phương pháp one-hot encoding cho word embedding vẫn còn hiệu quả
Đặc điểm của một vector không phải là one-hot encoding là gì?,B,"[1, 0, 1, 1]"
"Trong số các mô hình mạng nơ-ron được đề cập trong tài liệu Public_038, mô hình nào không phải là một dạng của Mạng Nơ-ron Hồi quy (RNN)?",C,Many to one
Sinh mô tả ảnh thuộc vào dạng RNN nào?,A,One to many
"Theo tài liệu Public_038, câu output của mô hình seq2seq sẽ có thêm mấy token và đó là những token nào?",B,"Bốn. <START>, <END>, <START_PARA> và <END_PARA>"
"Trong bối cảnh dịch máy, đâu là cách hiểu ""sản phẩm trung gian"" phù hợp với seq2seq?",B,Tổng hợp tần suất các từ trong câu input
"Theo tài liệu Public_038, khẳng định nào dưới đây là đúng với cơ chế attention?",B,Attention sử dụng ánh xạ key-value làm cơ sở duy nhất để hoạt động
Đâu không phải là một ứng dụng của GAN được nêu trong phần đầu tiên của tài liệu Public_039?,B,"""Dịch ảnh"" (image-to-image translation)"
GAN là viết tắt của?,C,Graphic Artificial Network
"GAN gồm bao nhiêu thành phần mạng và tên gọi của chúng, theo đúng thuật ngữ, là?",D,Một. Artist
Tóm tắt cách hoạt động của GAN?,B,"Generator sẽ sinh ảnh giả, Discriminator sẽ chọn ra ảnh thật giữa ảnh giả và một ảnh thật (nhưng không biết là thật). Hai mô hình sẽ đối đầu nhau"
Đâu là một ví dụ được coi là tương đồng với cách thức huấn luyện của GAN?,B,Giải một mê cung
Khác biệt về kiến trúc của DCGAN và GAN?,B,"DCGAN sử dụng mạng tích chập, GAN sử dụng mạng neural thường"
Input của Generator trong mạng tạo sinh đối kháng (GAN) là gì?,B,Vector một
CIFAR-10 và Fashion-MNIST có bao nhiêu lớp (classes)?,A,32 x 32 x 3 và 28 x 28 x 1
Điểm chung giữa DCGAN và Conditional GAN là?,C,Vai trò của Generator và Discriminator là như nhau ở cả hai hệ thống
"Đâu là yếu tố tạo nên ""Conditional"" trong Conditional GAN?",A,"Generator sinh ảnh nửa chừng rồi đi qua một kiểm tra điều kiện, nếu không đạt thì thay đổi ảnh"
Logistic regression có đầu ra là gì?,D,Giá trị phức
Đâu là công thức của sigmoid?,C,1/(1 + exp(-z))
"Hàm mất mát Cross-Entropy biến thiên ra sao khi nhãn thực y_i lần lượt là 1 và 0, ứng với các giá trị xác suất dự đoán p_i?",D,Đơn điệu giảm và đơn điệu tăng
Điểm giống nhau cơ bản của logistic regression và linear regression là gì,C,Sử dụng chung một loss function
"Theo nguyên lý xác suất được trình bày trong tài liệu Public_041, đâu không phải là một khẳng định hợp lý?",B,"Tổng xác suất của sự kiện ""tôi là nam"" và ""tôi là nữ"" là 100%"
Mô hình neural network lấy cảm hứng từ?,A,Cơ chế thụ cảm của con người
"Neural network bắt chước toàn bộ cơ chế hoạt động của hệ thần kinh, đúng hay sai?",C,nan
Ký hiệu phổ biến cho số đặc trưng trong một điểm dữ liệu và số điểm dữ liệu lần lượt là?,D,D và N
Bài toán về toán tử bit nào là minh chứng cho việc cần xây dựng nhiều hơn một lớp ẩn?,A,AND
"Theo tài liệu Public_042, vì sao lại nên dùng hàm kích hoạt phi tuyến (non-linear activation)?",C,"Vì đây là xu hướng, thói quen của cộng đồng"
Hệ màu RGB biểu diễn tất cả các màu khả kiến dưới dạng tổ hợp của ba màu gì?,D,"Vàng, xanh biển, tím đỏ"
Tensor được chuyên dùng để mô tả dữ liệu theo mấy chiều,C,Nhiều hơn hai
Một pixel của ảnh xám có thể nhận giá trị tối thiểu và tối đa lần lượt là?,C,0 và 255
Phép tích chập (convolution) gồm ba yếu tố chính là kernel và hai thành phần nào?,A,Strike và patting
"Sử dụng công thức quy đổi RGB sang ảnh xám (p = 0.299 * r + 0.587 * g + 0.114 * b, làm tròn tới hàng đơn vị) được đề cập trong tài liệu Public_043, hãy xác định giá trị pixel ảnh xám ứng với pixel ảnh RGB (100, 10, 1).",D,34
Đâu là vấn đề trong xử lý ảnh mà CNN giải quyết tốt hơn so với các mạng nơ-ron truyền thống?,A,Lưu trữ tham số
Pooling layer được thiết kế để?,A,"Giảm kích thước dữ liệu, bất luận mất mát thông tin"
Pooling layer của VGG16 có kích thước ra sao và hàm pool là?,A,"2 x 2, avg"
Tổng quát một CNN sẽ gồm hai phần chính nào sau đây?,A,Các lớp tích chập và các lớp truyền thống
"Kết quả average pooling của hình vuông gồm 4 giá trị 15, 20, 30, 45 là?",D,32.5
"Theo tài liệu Public_045, điểm chung của Transfer learning và data augmentation là gì?",B,Áp dụng cho tình trạng khan hiếm dữ liệu
"Theo tài liệu Public_045, đâu không phải là một hình thức data augmentation cho ảnh?",A,Cắt và phóng to (crop and resize)
"Theo tài liệu Public_045, khi tiến hành phân lớp với nhiều hơn hai lớp, có bao nhiêu chiến lược tiếp cận? Hình thức của chúng là gì?",A,Hai. Một model phân M lớp và M model phân biệt từng lớp
"Trường hợp nào sau đây được đề xuất sử dụng Finetuning hơn là Feature extractor?
I. Dữ liệu lớn, khác dữ liệu pretrain
II. Dữ liệu nhỏ, khác dữ liệu pretrain
III. Dữ liệu nhỏ, giống dữ liệu pretrain
IV. Dữ liệu lớn, giống dữ liệu pretrain",A,I
"Theo tài liệu Public_045, đâu không phải là khẳng định đúng giữa Finetuning và Feature extractor?",C,Feature extractor phù hợp khi dữ liệu thích nghi tương đối giống với dữ liệu của mô hình pretrained
Lợi ích chính của vectorization là gì,B,Tiết kiệm bộ nhớ
"Theo tài liệu Public_046, giá trị p trong dropout thể hiện điều gì?",B,Xác suất giữ một layer
"Theo tài liệu Public_046, khái niệm tiếng Việt cho bias và variance là gì?",A,"Phương sai, độ lệch chuẩn"
Đâu là mục tiêu chính của các phương pháp trong tài liệu Public_046?,B,Tránh các hiện tượng như overfitting và underfitting
Một thuật toán gradient descent lấy ra 32 dữ liệu điểm mỗi lần tính đạo hàm thì thuộc loại gradient descent nào?,B,Mini-batch GD
Input của bài toán object detection là?,C,Văn bản
Vấn đề chính của R-CNN là?,B,Thời gian train lâu
IoU phụ thuộc vào hai toán tử tập hợp nào và công thức là gì?,B,Intersection và Negation. I/(I + N)
Các nguyên tắc cốt lõi và thành phần chính của các cách tiếp cận object detection là gì?,B,Region proposal
"Trong ROI pooling, để tạo ra output có kích thước 4x4, mỗi vùng quan tâm (ROI) được chia thành bao nhiêu phân vùng con để thực hiện pooling?",A,1
Bộ dữ liệu được sử dụng trong tài liệu Public_048 có bao nhiêu ảnh?,D,3500
Mô hình được sử dụng để huấn luyện trong tài liệu Public_048 là gì?,D,YOLO-Tinyv4
"Trong tài liệu Public_048, có bao nhiêu phương pháp tăng cường dữ liệu đã được dùng và gồm những thao tác nào?",D,Một. Lật
Cách tiếp cận đã nêu trong tài liệu Public_048 có tiến hành đọc biển số hay không?,B,Có
Phân loại của bài toán được mô tả trong tài liệu Public_048 là gì?,B,Object segmentation
"Theo tài liệu Public_049, khái niệm được dùng để đại diện tập xác định của một biến là gì?",C,Loại dữ liệu
"Theo tài liệu Public_049, thành phần nào không thuộc phạm vi quản lý của biến?",C,Giá trị biến
Tên kiểu dữ liệu của ký tự ASCII và ký tự Unicode lần lượt là?,A,char và wchar
Đâu không phải khẳng định đúng về các đặc tính của thuật toán được đề cập trong tài liệu Public_049?,A,"Thuật toán phải rõ ràng, không nhập nhằng"
Phương trình toán học 3x + 4y + 5z = 6 có mấy biến?,B,Hai
"Dựa vào tài liệu Public_050, từ nào điền vào chỗ trống sau: nếu hàm số f(x) bị ... bởi hằng số C nhân với g(x), ta nói f(x) có độ phức tạp O(g(x))?",C,Chặn trên và dưới
"Theo nguyên tắc tổng, f1(x) + f2(x) có độ phức tạp là?",B,"O(min(g1(x), g2(x))"
Độ phức tạp tuyến tính và giai thừa lần lượt có ký hiệu là?,A,O(1) và O(n)
"Theo tài liệu Public_050, bước đầu tiên của quá trình tiếp cận bài toán là gì?",C,Xác định yêu cầu bài toán 
Hai thuật toán được tiến hành kế tiếp nhau lần lượt có độ phức tạp O(n) và O(n^2). Độ phức tạp của chương trình là?,A,O(n)
"Dựa trên tài liệu Public_051, khái niệm nào không thuộc về thuật toán sinh?",B,Cấu hình kết thúc
Nội dung của tài liệu Public_051 không bao gồm bài toán nào?,D,Bài toán đặc thù
Số hoán vị của N phần tử phân biệt là bao nhiêu và giá trị tương ứng khi N = 3 là?,C,"N^2, 9"
Đâu là cốt lõi của thuật toán đệ quy?,D,Bài toán không thể giải trong thời gian đa thức
"Bài toán liệt kê xâu nhị phân độ dài 6 phải trải qua bao nhiêu cấu hình, nếu biết số cấu hình cho độ dài n là 2^n?",D,2^12
Đâu không phải một ví dụ duyệt được thực hiện bởi quay lui?,D,Duyệt từ đầu đến cuối mảng
"Trong bài toán N quân hậu, quân hậu ở hàng thứ i phải thỏa mãn điều gì?",A,Không trùng cột với các quân hậu còn lại
"Theo tài liệu Public_052, tên của thủ tục tiền xử lý và thủ tục chạy quay lui được gọi trong hàm main() lần lượt là gì?",C,Init() và Try(1)
"Theo tài liệu Public_052, đâu không phải một bước trong quay lui?",C,Bước 3
"Làm thế nào để áp dụng thuật toán quay lui để duyệt hoặc sinh ra một số tập con K phần tử cụ thể, thay vì duyệt toàn bộ các tập con K phần tử?",D,nan
Những điều kiện tiên quyết nào áp dụng cho việc sắp xếp dữ liệu?,B,Đối tượng phải là số
Vai trò của sắp xếp đối với hiệu quả của quá trình tìm kiếm dữ liệu là gì?,C,nan
Cho biết số lượng thuật toán sắp xếp đơn giản được trình bày trong tài liệu Public_053 và tên của chúng?,C,"Hai. Selection sort, insertion sort"
Độ phức tạp nhỏ nhất của Insertion Sort là?,D,O(sqrt(N))
Vì sao Selection Sort có độ phức tạp O(N^2),D,Vì người đề xuất phát biểu vậy
"Theo tài liệu Public_054, hành động chính của Bubble Sort là gì?",D,Tráo đổi min và max
Đâu không phải một cách chọn khóa (pivot) điển hình trong Quick Sort,B,Dùng phần tử thứ ba
"Trong heap, chỉ số node con trái và phải của node x lần lượt là? (node gốc có chỉ số 0)",B,"2i, 2i + 2"
Đâu là cấu trúc heap ta nên dùng nếu muốn sắp xếp mảng giảm dần?,D,Mean-heap
Đâu là điểm chung giữa Merge Sort và Quick Sort? Chọn một đáp án,D,Đều là các thuật toán sắp xếp ổn định (bảo toàn thứ tự xuất hiện các phần tử bằng nhau)
Đâu không phải thuật toán tìm kiếm được nêu trong tài liệu?,D,Tìm kiếm nội suy
"Theo tài liệu Public_055, thuật toán đơn giản nhất trong bốn thuật toán được trình bày là gì?",D,Tìm kiếm tuyến tính
"Trong ngữ cảnh của tài liệu Public_055, kết quả trả về cụ thể (ví dụ: mã trạng thái, cấu trúc dữ liệu, giá trị) khi tìm kiếm 'thấy' và 'không thấy' một mục lần lượt là gì?",B,1 và -1
Nhận định nào sau đây không đúng dựa trên nội dung của tài liệu Public_055?,A,Tìm kiếm Jumping rồi sẽ quay về tìm kiếm tuyến tính ở một bước nào đó
"Dựa trên thông tin trong tài liệu Public_055 về tìm kiếm nhị phân hoàn thành trong logN bước, cho biết mảng đã sắp xếp gồm 2^8 phần tử sẽ cần bao nhiêu bước?",A,8
"Theo tài liệu Public_056, thao tác nào dưới đây không được liệt kê là một thao tác cơ bản trên linked list?",B,Duyệt node
Một node của danh sách liên kết đơn có mấy trường?,C,Bốn
Tên của thao tác cập nhật và tìm kiếm một node trong cấu trúc dữ liệu lần lượt là gì?,A,Find và update
Đâu không phải là đặc điểm của linked list?,C,Giải quyết bất cập về việc cấp phát bộ nhớ của mảng (array)
"Muốn cập nhật trong linked list phần tử thứ 5 với giá trị 7, ta cần nhập vào khi gọi update() thứ tự giá trị nào cho pos và val?",C,7 5
"Theo tài liệu Public_057, đâu không phải là một loại đồ thị được phân loại ở cấp dưới trong hệ thống phân loại đồ thị của tài liệu?",D,Giả đồ thị (pseudograph)
Đồ thị được tạo thành bằng cách bổ sung một đỉnh nối với mọi đỉnh của đồ thị C_n được ký hiệu là?,D,C'_n
Tên gọi riêng cho đỉnh bậc 0 và đỉnh bậc 1 trong đồ thị vô hướng là?,D,"Đỉnh cô lập, đỉnh lẻ"
Tài liệu Public_057 mô tả những cách biểu diễn đồ thị nào?,A,Ma trận kề
"Theo tài liệu `Public_057`, đồ thị bánh xe có bao nhiêu cạnh?",B,n^2
"Theo tài liệu Public_058, đâu là một tên gọi khác của kiểm thử chức năng?",C,Kiểm thử hộp trắng
Tập S biểu diễn các mẫu hành vi hoặc đặc tính động lực học như thế nào?,A,Được nêu trong đặc tả
"Trong tài liệu Public_058, các hành vi ""được đặc tả"" và ""được kiểm thử"" được định nghĩa thuộc tập nào?",B,P và S
"So sánh kiểm thử hộp trắng và kiểm thử hộp đen, phương pháp nào ưu việt hơn?",A,Kiểm thử hộp trắng
"Theo tài liệu Public_058, theo mô hình biểu đồ Venn, thiết kế kiểm chứng nên rơi vào miền nào nhiều nhất?",B,Miền 4
"Theo tài liệu Public_059, kiểm thử tích hợp tập trung vào vấn đề gì?",A,Hoạt động của một module
"Theo tài liệu Public_059, đâu không phải là một hình thức giao diện giữa nhiều module?",C,Module A gửi thông tin cho module B
"Ngoài hai cách ghép module thông dụng là top down, bottom up thì còn mấy phương pháp và tên của chúng là?",B,Một. Bigbang
Nội dung nào không được đề cập trong tài liệu Public_059?,C,Các loại giao diện giữa các module
Đoạn code ngắn sau định nghĩa giao diện hàm (function interface) như thế nào?,D,Inheritance
Chương Public_060 sẽ đi qua bao nhiêu ví dụ?,D,Bốn
"Có tất cả bao nhiêu cách để đi đến nút ""Not A Triangle"" trong bài toán Tam giác, theo tài liệu?",B,Sáu
"Trong bài toán Ngày kế tiếp, sự phân bố của những loại thực thể nào thường gây ra vấn đề, và liệu việc xác định một thực thể có phụ thuộc vào các thực thể khác không?",C,Năm nhuận. Không
"Theo tài liệu Public_060, đâu không phải một yếu tố khiến bài toán Tam giác được đề cập trong đó trở nên phổ biến?",C,"Hàm ý người kiểm thử cần đặt ra những trường hợp ""không tầm thường"" (ví dụ input không hợp lệ phải trả về kết quả gì)"
"Kết quả kiểm tra xem bộ ba số (3, 4, 5) có tạo thành tam giác vuông hay không?",B,Isosceles
Người kiểm thử cần quan tâm điều gì liên quan đến đặc tả được đề cập trong tài liệu Public_061?,A,"Người thiết lập đặc tả (người thiết kế, lập trình viên)"
Đâu không phải nguyên tắc cốt lõi của khảo sát đặc tả mức cao theo tài liệu Public_061?,D,"""Hãy phối hợp với đội nhóm và khách hàng"""
"Mục đích của từ ""luôn luôn"" và ""nào đó"", theo danh sách thẩm định thuật ngữ trong tài liệu Public_061, là hàm ý tính không mơ hồ và tính kiểm chứng của đặc tả?",D,"Tính thuyết phục, tính nhập nhằng"
Nhận định nào là chính xác về việc kiểm thử đặc tả mức thấp? Chọn hai nhận định,C,Kiểm tra các thuộc tính của các đặc tả
Đâu không phải một thuật ngữ nhập nhằng trong đặc tả?,C,Chẳng hạn
Giả định cơ bản nào được áp dụng trong kiểm thử giá trị biên?,C,Tập xác định/tập giá trị có biên/khu cận biên
Kiểm thử giá trị biên tổ hợp có công thức số ca kiểm thử là hàm số như nào?,B,Bình phương
Ký hiệu của cận biên max và cận biên min theo tài liệu Public_062 là gì?,B,max- và min+
"Trong kiểm thử giá trị biên, thông thường có bao nhiêu giá trị kiểm thử cụ thể được lựa chọn xung quanh mỗi giới hạn?",C,Sáu
"Giả sử một hàm ba biến f(x1, x2, x3) được đem ra kiểm thử giá trị biên, hỏi một ca kiểm thử gốc sẽ cho ra bao nhiêu ca kiểm thử dẫn xuất?",C,12
Bảng quyết định gồm hai yếu tố chính có tên là?,D,Nguyên nhân và hệ quả
"Theo tài liệu Public_063, giá trị điều kiện chỉ bó buộc trong T/F, nhận định này đúng hay sai?",C,nan
"Trong một hệ thống ký hiệu quy trình hoặc trạng thái, ký hiệu cho điều kiện kích hoạt và hành động thực thi lần lượt là gì?",A,T và X
Tiền đề để sử dụng dấu gạch nối (-) trong văn bản kỹ thuật?,D,Có quá nửa điều kiện sai
"Đâu là tổ hợp biểu diễn một quy tắc có trạng thái điều kiện lần lượt là (đúng, đúng, tùy ý, sai)?",C,"F, F, T, -"
"Theo tài liệu Public_064, yếu tố quan trọng nhất của kiểm thử hộp trắng là gì?",B,Trình biên dịch
Dòng điều khiển được mô hình hóa bằng các phương pháp hoặc mô hình cụ thể nào?,A,Đồ thị vô hướng
"Trong tài liệu Public_064, có bao nhiêu độ đo được quyết định chỉ dựa trên câu lệnh rẽ nhánh; đó là những độ đo nào?",C,Hai. C3 và C1
"Theo tài liệu Public_064, có tất cả bao nhiêu độ đo kiểm thử?",A,Một
"Xét hàm sau:
if (a == 0) return 0;
if (a == b) return 1;
return 2;
Cần bao nhiêu ca kiểm thử để đảm bảo 100% độ phủ cho độ đo C1?",A,Ba
Đâu không phải một yếu tố giúp xác định lát cắt được đề cập trong tài liệu Public_065?,C,Thời điểm n
"Trong tài liệu Public_065, bối cảnh ""các đoạn câu lệnh"" hàm ý gì?",D,Một nhóm câu lệnh có thể tách rời tùy ý
"Trong xây dựng lát cắt, câu lệnh dạng I-def và I-use đối với biến v sẽ được xử lý như nào? (Trả lời đúng thứ tự)",A,Đều loại bỏ
Hình thức sử dụng biến nào không bao giờ nằm trong lát cắt của biến đó?,B,O-use
Câu lệnh `int temp = 31415;` thuộc loại khai báo và khởi tạo biến nào?,B,A-def
Mục tiêu của mô hình trong kiểm thử dựa trên mô hình?,C,Đánh giá ca kiểm thử
Đâu không phải một cách biểu diễn một mô hình máy học?,B,Automaton tất định hữu hạn trạng thái (DFA)
FSM và DFA được biểu diễn bằng bộ mấy thành phần?,B,Bốn và năm
"Thứ tự của quy trình kiểm tra mô hình? Sắp xếp các bước sau.
1. Sử dụng mô hình tạo ca kiểm thử
2. Chạy kịch bản kiểm thử
3. Đối chiếu kết quả kiểm thử
4. Đánh giá và phản hồi",A,2-1-3-4
Điểm nào dưới đây là điểm chung cho hầu hết các hình thức biểu diễn mô hình dữ liệu?,B,"Các hình thức luôn rất phức tạp, loằng ngoằng"
Đâu là nhân tố đóng góp vào việc phát triển kiểm thử tự động,C,"Kiểm thử thủ công hao tốn tài lực, vật lực"
Lý do nào không phải thách thức dẫn đến việc đầu tư cao độ vào phát triển công cụ tìm lỗi và kiểm thử tự động?,C,Chất lượng sản phẩm phần mềm nghèo nàn
Có bao nhiêu bước phân tích trong quy trình được mô tả trong tài liệu Public_067 và tên của chúng là gì?,D,Hai. Phân tích độ phủ và phân tích tĩnh
"Theo tài liệu Public_067, kiến trúc kiểm thử tự động bao gồm những yếu tố nào?",C,"Đánh giá (so sánh, báo cáo, phân tích)"
"Trong kiểm thử dựa trên mô hình, những hoạt động nào không được tự động tạo ra từ mô hình mà do con người thực hiện?",B,Chương trình cần kiểm thử
"Trong giai đoạn tiền xử lý dữ liệu hình ảnh cho hệ thống thị giác máy tính, kỹ thuật nào giúp giảm nhiễu và tăng độ tương phản?",D,Tăng batch size
Mục tiêu chính của việc chia tập dữ liệu theo tỉ lệ 70/15/15 trong huấn luyện mô hình là gì?,B,"Đảm bảo có tập huấn luyện, kiểm định và kiểm tra cân bằng"
"Hãy phân tích các bước then chốt trong toàn bộ vòng đời hệ thống thị giác máy tính công nghiệp, từ thu thập dữ liệu hình ảnh đến triển khai và bảo trì, đồng thời nêu rõ vai trò của chuẩn hóa định dạng dữ liệu và kỹ thuật Edge Computing.",A,"Các bước: thu thập dữ liệu đa nguồn, tiền xử lý (cân bằng, loại nhiễu, chuẩn kích thước), xây dựng & huấn luyện mô hình, triển khai (API, PLC/SCADA, edge), giám sát & cập nhật; chuẩn hóa định dạng đảm bảo tính nhất quán cho huấn luyện; Edge Computing giảm độ trễ và tiết kiệm băng thông."
Kiến trúc tổng thể của giải pháp thị giác máy tính công nghiệp gồm những giai đoạn chính nào?,A,Thu thập & tiền xử lý dữ liệu → Xây dựng & huấn luyện mô hình → Triển khai & giám sát hệ thống
"Nếu môi trường sản xuất thay đổi ánh sáng thường xuyên nhưng không cập nhật mô hình, hậu quả nào dưới đây có khả năng xảy ra nhất?",D,Hệ thống sẽ tự động bật chế độ bảo trì mà không cần giám sát
"Theo tài liệu Public_069, những đặc điểm quan trọng nào của dữ liệu chuỗi thời gian cần được xem xét trong việc dự báo?",B,Được thu thập từ nhiều nguồn không đồng bộ
"Khi thu thập dữ liệu với tần suất cao (high-frequency), thách thức lớn nhất thường là gì?",B,Lưu lượng/ dung lượng lưu trữ và xử lý dữ liệu lớn
"Trình bày quy trình tổng thể để xây dựng hệ thống quản lý dữ liệu chuỗi thời gian từ khâu xác định nguồn, thu thập, tiền xử lý đến lưu trữ và mở rộng; đồng thời giải thích tầm quan trọng của đồng bộ NTP và chiến lược partitioning.",A,"Quy trình: xác định nguồn (cảm biến, log), đảm bảo timestamp chuẩn NTP, thu thập qua MQTT/gateway, làm sạch & nội suy, chuẩn hóa đơn vị, tạo đặc trưng, lưu TSDB (Influx/Timescale), thiết lập TTL & partitioning, giám sát Prometheus/Grafana, mở rộng bằng microservices & Kubernetes; đồng bộ NTP giữ tính chính xác thời gian; partitioning tăng tốc truy vấn và quản lý dữ liệu lớn."
"Theo tài liệu Public_069, chuỗi thời gian được lưu trữ hiệu quả thường sử dụng hệ thống hoặc định dạng nào?",C,Không định dạng timestamp chính xác
"Nếu dữ liệu chuỗi thời gian từ nhiều cảm biến tương quan với nhau được nhóm lại và nén (multi-series group compression), lợi ích nào có thể có được?",C,Giảm độ chính xác vì mất thông tin chi tiết
Thành phần nào trong kiến trúc 5G cho phép chia mạng thành nhiều “lát” phục vụ các dịch vụ khác nhau?,D,MIMO
Công nghệ nào giúp tập trung tín hiệu và tăng hiệu quả sử dụng phổ tần trong 5G?,C,Beamforming
"Hãy mô tả đầy đủ các thành phần kiến trúc chính của mạng 5G, phương pháp triển khai và các cơ chế quản lý dịch vụ & bảo mật, đồng thời nêu rõ vai trò của network slicing và điện toán biên (MEC).",C,"Triển khai chủ yếu dựa vào 4G nâng cấp, không cần MEC; network slicing dùng cho tăng băng thông chung, không tách dịch vụ."
Phương pháp nào giúp giảm chi phí đầu tư và cho phép nhiều nhà cung cấp thiết bị tham gia triển khai hạ tầng 5G?,A,Triển khai thuần Cloud
"Trong quản lý chất lượng dịch vụ 5G, nhóm dịch vụ nào phù hợp nhất cho truyền video 8K và VR?",B,eMBB
Giao thức nào thường được dùng cho thiết bị IoT tiết kiệm băng thông và nhẹ?,C,FTP
"Theo tài liệu Public_071, phương pháp nào cho phép cập nhật firmware hàng loạt mà không cần tiếp cận vật lý thiết bị?",C,OTA (Over-the-Air)
"Trình bày kiến trúc đa lớp và quy trình quản lý mạng IoT quy mô hàng triệu thiết bị, đồng thời giải thích cách bảo mật đa tầng (từ thiết bị đến truyền thông) và cơ chế giám sát–phản ứng sự cố.",D,"Kiến trúc 2 lớp (thiết bị–cloud) đủ; bảo mật chỉ cần TLS cơ bản, không cần phân tích dữ liệu lớn."
"Để bảo vệ dữ liệu trong quá trình truyền, lớp bảo mật nào nên được áp dụng cho kết nối TCP/UDP?",B,TLS/DTLS
Việc phân nhóm thiết bị IoT theo vị trí địa lý và mức độ quan trọng giúp đạt mục tiêu chính nào?,A,"Ưu tiên cập nhật, vá lỗi hoặc triển khai dịch vụ theo nhu cầu cụ thể"
"Theo tài liệu Public_072, DRL là sự kết hợp của những lĩnh vực nào?",C,Mô hình hóa thống kê và RL
Thành phần nào đóng vai trò đưa ra hành động trong DRL?,B,Reward
"Mô tả quy trình xây dựng hệ thống DRL cho robot công nghiệp từ kiến trúc thành phần đến thuật toán, đồng thời nêu các ứng dụng tiêu biểu và thách thức triển khai thực tế.",C,"Chỉ cần Policy Gradient, bỏ qua các bước mô phỏng; không cần transfer learning; ứng dụng chủ yếu là điều khiển drone."
Ưu điểm lớn nhất của việc mô phỏng trước khi triển khai trên robot thực là gì?,D,Loại bỏ hoàn toàn nhu cầu dữ liệu
"Giả sử một robot đã học thành công trong môi trường mô phỏng nhưng thất bại khi hoạt động thực tế, nguyên nhân hợp lý nhất là gì?",B,Do mô hình thiếu khả năng tổng quát và chênh lệch môi trường
"Theo tài liệu Public_073, ưu điểm nổi bật nhất của Federated Learning trong y tế là gì?",D,Giảm độ phức tạp của mô hình
Thuật toán tổng hợp trọng số phổ biến trong FL là gì?,C,Federated Averaging (FedAvg)
"Hãy phân tích nguyên lý hoạt động của Federated Learning và các kỹ thuật bảo mật nâng cao, đồng thời nêu lợi ích và thách thức khi áp dụng trong môi trường y tế đa cơ sở.",D,Hoạt động: các bên trao đổi dữ liệu đầy đủ; bảo mật dựa trên VPN; không gặp vấn đề dữ liệu không đồng nhất.
Thách thức lớn nhất khi các bệnh viện có đặc điểm dữ liệu khác nhau là gì?,D,Dữ liệu không đồng nhất (Non-IID)
"Giả sử một bệnh viện có hạ tầng yếu, vấn đề chính khi tham gia FL là gì?",C,Chi phí tính toán cục bộ và thiếu tài nguyên
Đơn vị thông tin cơ bản trong điện toán lượng tử là gì?,D,Gate
Thuật toán nào thường dùng để tối ưu hóa tổ hợp trong mạng 6G?,A,Backpropagation
"Trình bày cách điện toán lượng tử hỗ trợ giải các bài toán tối ưu trong mạng 6G, mô tả các thuật toán lượng tử tiêu biểu và kiến trúc triển khai thực tế.",A,"Ứng dụng Quantum Computing cho phân bổ phổ tần, định tuyến, quản lý năng lượng, lập lịch; thuật toán QAOA, VQE, Grover, Quantum Annealing; kiến trúc hybrid quantum-classical, cloud-quantum, edge computing; lợi ích: tốc độ tính toán, tiết kiệm năng lượng, mở rộng thiết bị IoT; thách thức: phần cứng qubit hạn chế, chuẩn giao thức mới."
Hình thức triển khai nào cho phép trạm gốc 6G sử dụng tài nguyên lượng tử từ xa?,A,Cloud-Quantum
"Theo tài liệu Public_074, giải pháp khả thi nhất cho mạng lượng tử khi chưa đủ qubit là gì?",A,Bỏ triển khai 6G
Pin nào sử dụng chất điện phân rắn thay cho lỏng?,B,Pin Thể Rắn (Solid-State)
Ưu điểm nổi bật của pin Sodium-Ion là gì?,C,"Nguyên liệu rẻ, dồi dào, hoạt động tốt ở nhiệt độ thấp"
"Hãy trình bày các công nghệ pin thế hệ mới cho lưới điện thông minh, nêu ưu nhược điểm từng loại và vai trò của AI trong khám phá vật liệu và điều độ năng lượng.",B,Chỉ có pin lithium-ion cải tiến; AI chỉ để điều khiển sạc/xả; không cần công nghệ mới.
